1,-0.0015939,0.10884,0,0.29676,-0.0078161,0.10252,0,0.76078,-0.0075344,0.10658,0,0.29676,-0.0044314,0.10841,0,0.29676,0.0021506,0.1186,0,0.71518,-0.014189,0.11438,0,0.42106,-0.0055911,0.1217,0,0.29676,-0.018411,0.12183,0,0.42204
2,-0.045968,0.10262,0,0.29676,-0.073782,0.099981,0,0.76078,-0.063245,0.091183,0,0.29676,-0.068312,0.094439,0,0.43335,-0.053928,0.10308,0,0.58672,-0.07205,0.12254,0.005,0.53238,-0.064515,0.10786,0,0.29676,-0.059989,0.10625,0,0.42204
3,-0.082681,0.10201,0,0.29676,-0.092371,0.098677,0,0.80455,-0.088285,0.0894,0,0.29676,-0.091126,0.091977,0,0.43335,-0.087381,0.10519,0,0.58672,-0.091577,0.12422,0.005,0.53238,-0.08471,0.10029,0,0.29676,-0.094611,0.092995,0,0.42204
4,-0.10416,0.12063,0,0.29278,-0.10929,0.095347,0,0.80455,-0.11645,0.1211,0.005,0.29676,-0.10524,0.10059,0,0.43335,-0.1134,0.11694,0,0.58672,-0.12074,0.12067,0.005,0.53238,-0.10598,0.11419,0,0.29676,-0.1131,0.094357,0,0.42204
5,-0.12377,0.12168,0,0.29676,-0.12248,0.11338,0,0.80455,-0.12923,0.12541,0.005,0.29676,-0.11748,0.10576,0,0.43335,-0.12603,0.12372,0,0.58672,-0.13667,0.12354,0.005,0.16972,-0.11866,0.11023,0,0.29676,-0.12495,0.088222,0,0.42204
6,-0.13626,0.12255,0,0.29676,-0.12875,0.11203,0,0.80455,-0.13684,0.13051,0.005,1.0047,-0.14273,0.12984,0,0.43335,-0.14364,0.12486,0,0.58672,-0.14457,0.12377,0.005,0.16972,-0.13454,0.11174,0,0.29676,-0.13022,0.084688,0,0.42204
7,-0.14647,0.12466,0,0.29676,-0.14239,0.11908,0,0.80455,-0.14691,0.12951,0.005,1.0047,-0.15131,0.12739,0,0.43335,-0.15421,0.13207,0,0.58672,-0.15738,0.13425,0.005,0.16972,-0.13673,0.10706,0,0.29676,-0.14113,0.081303,0,0.42204
8,-0.15622,0.12562,0,0.29278,-0.15556,0.12981,0,0.63465,-0.15426,0.12782,0.005,0.60931,-0.15721,0.12929,0,0.43335,-0.15829,0.1296,0,0.58672,-0.16166,0.13294,0.005,0.16972,-0.14984,0.10571,0,0.19754,-0.14892,0.11153,0.005,0.42204
9,-0.16058,0.12556,0,0.29278,-0.16036,0.13113,0,0.63465,-0.16009,0.12476,0.005,0.60931,-0.16976,0.13275,0,0.43335,-0.174,0.13674,0,0.58672,-0.17577,0.14416,0.005,0.16972,-0.15403,0.11059,0,0.19754,-0.15517,0.13769,0.01,0.42204
10,-0.16871,0.14499,0,0.29278,-0.17126,0.13179,0,0.51002,-0.16377,0.136,0.005,0.60931,-0.17536,0.13246,0,0.43335,-0.17855,0.14457,0,0.58672,-0.1942,0.15094,0.005,0.16972,-0.15836,0.11465,0,0.19754,-0.1567,0.14205,0.01,0.42204
11,-0.17899,0.15599,0,0.29278,-0.18192,0.14174,0,0.38346,-0.16857,0.14229,0.005,0.60931,-0.18099,0.13566,0,0.43335,-0.18904,0.14454,0,0.58672,-0.19534,0.1533,0.005,0.16972,-0.16155,0.11443,0,0.19754,-0.15892,0.15503,0.01,0.42204
12,-0.18597,0.15514,0,0.29278,-0.18607,0.13908,0,0.38346,-0.17644,0.14256,0.005,0.60931,-0.1848,0.13908,0,0.43335,-0.19186,0.1471,0,0.58672,-0.20206,0.15556,0.005,0.16972,-0.17094,0.11443,0,0.20347,-0.16085,0.17374,0.015,0.42204
13,-0.1914,0.1652,0,0.29278,-0.19264,0.15304,0,0.38346,-0.1804,0.15362,0.005,0.60931,-0.18972,0.14376,0,0.43335,-0.20409,0.16499,0.005,0.58672,-0.20903,0.15747,0.005,0.16972,-0.17587,0.12083,0,0.20347,-0.17027,0.18103,0.02,0.42204
14,-0.19379,0.18005,0,0.15619,-0.2062,0.19415,0.015,0.38346,-0.18426,0.15787,0.005,0.60931,-0.20113,0.15482,0,0.43335,-0.20713,0.16342,0.005,0.58672,-0.21031,0.15474,0.005,0.16972,-0.18106,0.11899,0,0.20347,-0.17778,0.18394,0.02,0.42204
